fecha_jornada;jornada;partido;equipo_local;marcador_local;equipo_visitante;marcador_visitante;resultado
miércoles 7 de noviembre de 2018;19;5;Nápoles;1;PSG;1;X
miércoles 7 de noviembre de 2018;19;7;Tottenham;2;PSV;1;1
domingo 25 de noviembre de 2018;22;10;Cádiz;3;Las Palmas;1;1
miércoles 7 de noviembre de 2018;19;8;Valencia;3;Young Boys;1;1
miércoles 7 de noviembre de 2018;19;9;CSKA Moscú;1;Roma;2;2
miércoles 7 de noviembre de 2018;19;11;Benfica;1;Ajax;1;X
miércoles 7 de noviembre de 2018;19;12;Juventus;1;Manchester City;2;2
miércoles 7 de noviembre de 2018;19;13;Lyon;2;Hoffenheim;2;X
miércoles 7 de noviembre de 2018;19;10;Bayern M.;2;AEK Atenas;0;1
miércoles 7 de noviembre de 2018;19;14;Manchester City;6;Shakhtar;0;1
miércoles 7 de noviembre de 2018;19;15;Viktoria Plzen;0;Real Madrid;5;0M
miércoles 28 de noviembre de 2018;23;1;AEK Atenas;0;Ajax;2;2
miércoles 28 de noviembre de 2018;23;2;Bayern M.;5;Benfica;1;1
miércoles 28 de noviembre de 2018;23;4;Hoffenheim;2;Shakhtar;3;2
miércoles 28 de noviembre de 2018;23;3;Lyon;2;Manchester City;2;X
miércoles 28 de noviembre de 2018;23;6;Juventus;1;Valencia;0;1
miércoles 28 de noviembre de 2018;23;5;Roma;0;Real Madrid;2;2
miércoles 28 de noviembre de 2018;23;8;Lokomotiv M.;2;Galatasaray;0;1
miércoles 28 de noviembre de 2018;23;9;B. Dortmund;0;Club Brugge;0;X
miércoles 28 de noviembre de 2018;23;11;PSV;1;Barcelona;2;2
miércoles 28 de noviembre de 2018;23;10;Tottenham;1;Inter;0;1
miércoles 28 de noviembre de 2018;23;12;Nápoles;3;Estrella Roja;1;1
miércoles 28 de noviembre de 2018;23;7;Manchester City;1;Young Boys;0;1
miércoles 28 de noviembre de 2018;23;15;Atlético de Madrid;2;Mónaco;0;20
miércoles 28 de noviembre de 2018;23;13;PSG;2;Liverpool;1;1
domingo 18 de noviembre de 2018;21;1;Osasuna;2;Tenerife;0;1
domingo 18 de noviembre de 2018;21;2;Reus Deport.;1;Extremadura;4;2
domingo 18 de noviembre de 2018;21;4;R. Oviedo;2;Sporting de Gijón;1;1
domingo 18 de noviembre de 2018;21;5;Numancia;1;Rayo Majadahonda;2;2
miércoles 28 de noviembre de 2018;23;14;Porto;3;Schalke;1;1
domingo 18 de noviembre de 2018;21;3;R. Zaragoza;2;Mallorca;2;X
domingo 18 de noviembre de 2018;21;8;Alcorcón;0;Elche;0;1
domingo 18 de noviembre de 2018;21;7;Albacete;1;Lugo;0;1
domingo 18 de noviembre de 2018;21;10;Italia;0;Portugal;0;X
domingo 18 de noviembre de 2018;21;9;Turquia;0;Suecia;1;2
domingo 18 de noviembre de 2018;21;11;Albania;0;Escocia;4;2
domingo 18 de noviembre de 2018;21;12;Inglaterra;2;Croacia;1;1
domingo 18 de noviembre de 2018;21;13;Irlanda del Norte;1;Austria;2;2
domingo 18 de noviembre de 2018;21;15;Málaga;2;C. Gimnastic;0;20
domingo 18 de noviembre de 2018;21;14;Suiza;5;Bélgica;2;1
domingo 11 de noviembre de 2018;20;1;Valladolid;0;Eibar;0;X
domingo 18 de noviembre de 2018;21;6;Córdoba;1;Cádiz;3;2
domingo 11 de noviembre de 2018;20;3;Atlético de Madrid;3;Athletic de Bilbao;2;1
domingo 11 de noviembre de 2018;20;4;Girona;0;Leganés;0;X
domingo 11 de noviembre de 2018;20;2;Getafe;0;Valencia;1;2
domingo 11 de noviembre de 2018;20;7;Sevilla;2;Espanyol;1;1
domingo 11 de noviembre de 2018;20;6;Rayo Vallecano;2;Villarreal;2;X
domingo 11 de noviembre de 2018;20;9;Extremadura;2;Osasuna;3;2
domingo 11 de noviembre de 2018;20;10;Deportivo;4;R. Oviedo;0;1
domingo 11 de noviembre de 2018;20;8;Celta;2;Real Madrid;4;2
domingo 11 de noviembre de 2018;20;12;Rayo Majadahonda;2;Almería;0;1
domingo 11 de noviembre de 2018;20;11;Elche;0;Las Palmas;0;X
domingo 11 de noviembre de 2018;20;13;Sporting de Gijón;2;Málaga;2;X
domingo 11 de noviembre de 2018;20;14;Tenerife;0;Albacete;0;X
domingo 11 de noviembre de 2018;20;15;Barcelona;3;Betis;4;MM
